label,precision,recall,f1,support,error_rate
caution_and_advice,0.46616541353383456,0.6391752577319587,0.5391304347826087,97,0.3608247422680413
displaced_people_and_evacuations,0.6112676056338028,0.8410852713178295,0.7079934747145187,258,0.1589147286821705
infrastructure_and_utility_damage,0.571830985915493,0.688135593220339,0.6246153846153846,295,0.311864406779661
injured_or_dead_people,0.9125766871165644,0.8737151248164464,0.8927231807951987,1362,0.12628487518355358
missing_or_found_people,0.7213114754098361,0.704,0.7125506072874493,125,0.29600000000000004
not_humanitarian,0.5996732026143791,0.7952329360780065,0.6837447601304145,923,0.2047670639219935
other_relevant_information,0.5447470817120622,0.19257221458046767,0.2845528455284553,727,0.8074277854195323
requests_or_urgent_needs,0.37735849056603776,0.36363636363636365,0.37037037037037035,55,0.6363636363636364
rescue_volunteering_or_donation_effort,0.8791574279379157,0.8002018163471241,0.837823560486001,991,0.19979818365287594
sympathy_and_support,0.5829694323144105,0.8090909090909091,0.6776649746192893,330,0.19090909090909092
