label,precision,recall,f1,support,error_rate
caution_and_advice,0.6938775510204082,0.6898550724637681,0.6918604651162791,345,0.3101449275362319
displaced_people_and_evacuations,0.7162162162162162,0.8688524590163934,0.7851851851851852,61,0.1311475409836066
infrastructure_and_utility_damage,0.7226277372262774,0.908256880733945,0.8048780487804877,218,0.09174311926605505
injured_or_dead_people,0.9210526315789473,0.958904109589041,0.9395973154362416,73,0.04109589041095896
not_humanitarian,0.5224719101123596,0.5923566878980892,0.5552238805970149,157,0.40764331210191085
other_relevant_information,0.4293785310734463,0.3486238532110092,0.38481012658227853,218,0.6513761467889908
requests_or_urgent_needs,0.6,0.35294117647058826,0.4444444444444445,17,0.6470588235294117
rescue_volunteering_or_donation_effort,0.9217391304347826,0.7310344827586207,0.8153846153846153,145,0.2689655172413793
sympathy_and_support,0.9100346020761245,0.8708609271523179,0.8900169204737732,302,0.1291390728476821
